"Financial Year","Name","Lodged on behalf of","AssociatedParties","Total Receipts","Total Payments","Total Debts","Discretionary Benefits","Capital Contributions"
"2024-25","1973 Foundation Pty Ltd","","Australian Labor Party (ACT Branch); ","3022789","4626970","4168725","0","0"
"2024-25","281 Sandgate Road Investments Pty Ltd","","Liberal National Party of Queensland; ","0","0","0","0","0"
"2024-25","281 Sandgate Road Properties Pty Ltd","","Liberal National Party of Queensland; ","3656140","3679069","7658623","0","0"
"2024-25","A.C.N. 009 936 010 Pty Ltd","","Liberal National Party of Queensland; ","0","0","0","0","0"
"2024-25","A.C.N. 010 507 614 Pty Ltd","","Liberal National Party of Queensland; ","0","0","0","0","0"
"2024-25","ACT Labor Property Pty Ltd","","Australian Labor Party (ACT Branch); ","0","0","0","0","0"
"2024-25","ALP Holdings Pty Ltd as Trustee of the ALP Investment Trust","","Australian Labor Party (South Australian Branch); ","66678","59241","0","0","0"
"2024-25","Animal Justice Foundation Pty Ltd","","Animal Justice Party; ","115200","81530","0","0","0"
"2024-25","ASU - NSW Local Government Clerical Administrative Energy Airlines & Utilities Branch","United Services Union","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); ","1047995","1083732","0","0","0"
"2024-25","ASU Victorian Private Sector Branch","","Australian Labor Party (Victorian Branch); ","4069808","3173166","593404","0","0"
"2024-25","Australasian Meat Industry Employees Union - Newcastle, Northern, South Australian & Tasmanian Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (Tasmanian Branch); Australian Labor Party (South Australian Branch); ","1507324","1950185","108716","0","0"
"2024-25","Australasian Meat Industry Employees' Union - NSW Branch","AMIEU NSW Branch","Australian Labor Party (N.S.W. Branch); ","17251","0","0","0","0"
"2024-25","Australasian Meat Industry Employees' Union - QWANT Branch","Queensland Western Australia ","Australian Labor Party (State of Queensland); ","2273830","2457307","147397","0","0"
"2024-25","Australasian Meat Industry Employees Union SA & WA Branch","","Australian Labor Party (South Australian Branch); Australian Labor Party (Western Australian Branch); ","0","0","0","0","0"
"2024-25","Australasian Meat Industry Employees Union Victorian Branch","","Australian Labor Party (Victorian Branch); ","935822","909864","51941","0","0"
"2024-25","Australian Federated Union of Locomotive Employees","","Australian Labor Party (State of Queensland); ","1299583","1242926","34286","0","0"
"2024-25","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","Queensland Together Branch","Australian Labor Party (State of Queensland); ","22500811","18874334","751599","0","0"
"2024-25","Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch","","Australian Labor Party (State of Queensland); ","10031874","9689726","662901","0","0"
"2024-25","Australian Rail Tram & Bus Industry Union New South Wales Branch","","Australian Labor Party (N.S.W. Branch); ","9762731","9321286","1063365","0","0"
"2024-25","Australian Rail Tram & Bus Industry Union SA/NT","","Australian Labor Party (South Australian Branch); ","800401","732852","0","0","0"
"2024-25","Australian Rail Tram & Bus Industry Union, Queensland Branch","Australian Rail Tram & Bus Industry Union, Queensland Branch","Australian Labor Party (State of Queensland); ","4562072","3863496","129231","0","0"
"2024-25","Australian Rail Tram & Bus Union (Victorian Branch)","","Australian Labor Party (Victorian Branch); ","6567110","6865753","199292","0","0"
"2024-25","Australian Rail Tram and Bus Industry Union, Western Australia Branch","Australian Rail Tram and Bus Industry Union of Employees, Western Australia Branch","Australian Labor Party (Western Australian Branch); ","1518947","1362435","107061","0","0"
"2024-25","Australian Rail,Tram & Bus Industry - TAS Branch","","Australian Labor Party (Tasmanian Branch); ","0","0","0","0","0"
"2024-25","Australian Services Union - Victorian & Tasmanian Authorities & Services Branch","","Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); ","13547342","9228511","25174","0","0"
"2024-25","Australian Services Union of NSW & ACT (Services) Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); ","11541508","10744476","390839","0","0"
"2024-25","Australian Services Union SA - NT Branch","","Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch; ","7650554","7566307","89326","0","0"
"2024-25","Australian Services Union Western Australian Branch","","Australian Labor Party (Western Australian Branch); ","3981451","4009118","161313","0","0"
"2024-25","Australian Workers Union SA Branch","The Australian Workers Union SA Branch","Australian Labor Party (South Australian Branch); ","3023060","3243354","129366","0","0"
"2024-25","Australian Workers Union WA Branch","","Australian Labor Party (Western Australian Branch); ","11695765","12014707","782200","0","0"
"2024-25","Automotive Food Metals Engineering Printing & Kindred Ind. Union","Automotive Food Metals Engineering Printing & Kindred Industries Union WESTERN AUSTRALIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union VICTORIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union TASMANIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union SOUTH AUSTRALIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union QUEENSLAND STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union NSW STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union NATIONAL COUNCIL","Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (ACT Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (Western Australian Branch); ","69511141","67755234","67755234","0","0"
"2024-25","AWU - Australian Workers Union (Tasmanian Branch)","","Australian Labor Party (Tasmanian Branch); ","2122333","2318814","101472","0","0"
"2024-25","Bass 200 Club","","Liberal Party of Australia (Victorian Division); ","1244","164","0","0","0"
"2024-25","BEAN INDEPENDENT PTY LTD","","Jessie Price; ","0","0","0","0","0"
"2024-25","Berwick Ranges 500 Club","","Liberal Party of Australia (Victorian Division); ","54560","52499","0","0","0"
"2024-25","Build Australias Future Limited","","Liberal Party of Australia (Victorian Division); ","137502","6819","0","0","0"
"2024-25","Bunori Pty Limited","","Liberal Party of Australia, NSW Division; ","6988284","6804512","1920449","0","0"
"2024-25","Canberra Labor Club Limited","2.200 Nominees Pty Ltd; S48 Investments Pty Ltd","Australian Labor Party (ACT Branch); ","110323482","109433010","30388310","0","0"
"2024-25","CEC Australia (Services) Pty Ltd","","Australian Citizens Party; ","3990734","3971687","2669596","0","0"
"2024-25","CEPU Communications Division - WA","","Australian Labor Party (Western Australian Branch); ","780823","822315","0","0","0"
"2024-25","CEPU Electrical, Energy & Services Division - SA Branch","","Australian Labor Party (South Australian Branch); ","0","0","0","0","0"
"2024-25","CEPU Electrical, Energy and Services Division - Tasmanian Branch","","Australian Labor Party (Tasmanian Branch); ","2327174","2134217","4710296","0","0"
"2024-25","CEPU Engineering & Electrical Division WA Branch","","Australian Labor Party (Western Australian Branch); ","4718865","4215583","187603","0","0"
"2024-25","CEPU P & T Victorian Branch","","Australian Labor Party (Victorian Branch); ","1628705","1739732","0","0","0"
"2024-25","CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch)","","Australian Labor Party (N.S.W. Branch); ","3266959","2918804","266195","0","0"
"2024-25","CEPU Plumbing Division Queensland Branch","","Australian Labor Party (State of Queensland); ","7155657","6137528","295995","0","0"
"2024-25","CEPU Plumbing Division Victoria","","Australian Labor Party (Victorian Branch); ","12806911","11857942","1116625","0","0"
"2024-25","Chinese Liberals Association","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2024-25","Chisholm 200 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2024-25","CHISIND PTY LTD","","Kathleen Davies; ","37141","35473","0","0","2293"
"2024-25","Citizens Media Group Pty Ltd","","Australian Citizens Party; ","40124","40563","27596","0","0"
"2024-25","CLP Gifts & Legacies Pty Ltd","","Country Liberal Party (NT); ","49497","31237","0","0","0"
