"Financial Year","Return Type","Name","Received From","Date","Value"
"2024-25","Significant Third Party Return","Australian Council of Trade Unions","Department of Infrastructure, Transport, Regioinal Development, Communications and the Arts","","1254"
"2024-25","Significant Third Party Return","Australian Council of Trade Unions","Department of Social Services","","1479"
"2024-25","Significant Third Party Return","Australian Council of Trade Unions","Department of Prime Minister & Cabinet","","1100"
"2024-25","Significant Third Party Return","Australian Council of Trade Unions","Department of Industry","","963998"
"2024-25","Significant Third Party Return","Australian Council of Trade Unions","Jobs and Skills Australia","","6331"
"2024-25","Significant Third Party Return","Australian Council of Trade Unions","Reserve Bank of Australia","","2640"
"2024-25","Significant Third Party Return","Australian Council of Trade Unions","Department of Home Affairs","","11578"
"2024-25","Significant Third Party Return","Australian Council of Trade Unions","Asbesbtos and Silica Safety and Eradication Agency","","15788"
"2024-25","Significant Third Party Return","Australian Council of Trade Unions","National Indigenous Australians Agency","","22809"
"2024-25","Significant Third Party Return","Australian Council of Trade Unions","Department of Employment and Workplace Relations","","10577005"
"2024-25","Significant Third Party Return","Australian Council of Trade Unions","Comcare","","47943"
"2024-25","Significant Third Party Return","Australian Council of Trade Unions","Department of Education","","418"
"2024-25","Political Party Return","Australian Greens","Dept Finance","12/07/2024","123407"
"2024-25","Political Party Return","Australian Greens","Dept Finance","16/07/2024","220000"
"2024-25","Political Party Return","Australian Greens","Dept Finance","18/06/2025","24235"
"2024-25","Political Party Return","Australian Greens","Dept Finance","19/11/2024","11550"
"2024-25","Political Party Return","Australian Greens","Dept Finance","19/06/2025","220000"
"2024-25","Political Party Return","Australian Labor Party (ALP)","Dept of Finance - MAPS","","113300"
"2024-25","Political Party Return","Australian Labor Party (ALP)","Dept of Finance","","330000"
"2024-25","Political Party Return","Australian Labor Party (ALP)","Dept of Finance","","330000"
"2024-25","Political Party Return","Australian Labor Party (ALP)","Dept of Finance","","1100000"
"2024-25","Significant Third Party Return","Australian Nursing & Midwifery Federation","Australian Digital Health Agency","04/07/2024","22110"
"2024-25","Significant Third Party Return","Australian Nursing & Midwifery Federation","Department of Health and Ageing","19/12/2024","5500"
"2024-25","Significant Third Party Return","Australian Nursing & Midwifery Federation","Climate Action Network Australia Limited","12/12/2024","120175"
