"Financial Year","Name","Party Group","Total Receipts","Total Payments","Total Debts","Total Discretionary Benefits"
"2024-25","Animal Justice Party","","1215394","1049482","88103","0"
"2024-25","Australian Christians","","618360","509187","0","0"
"2024-25","Australian Citizens Party","","2854705","2727272","1850890","0"
"2024-25","Australian Democrats","","39026","43132","0","0"
"2024-25","Australian Greens","The Greens","9300188","9178497","603309","599192"
"2024-25","Australian Greens (South Australia)","The Greens","2624996","2250811","11172","0"
"2024-25","Australian Greens Victoria","The Greens","9766518","9833024","5444","0"
"2024-25","Australian Greens, Australian Capital Territory Branch","The Greens","1080191","945079","0","0"
"2024-25","Australian Greens, Northern Territory Branch","The Greens","360792","316155","0","0"
"2024-25","Australian Greens, Tasmanian Branch","The Greens","981396","745522","199114","0"
"2024-25","Australian Labor Party (ACT Branch)","Australian Labor Party","4069157","4294539","118245","0"
"2024-25","Australian Labor Party (ALP)","Australian Labor Party","71858506","71117925","216864","1873300"
"2024-25","Australian Labor Party (N.S.W. Branch)","Australian Labor Party","17710237","17185853","251187","0"
"2024-25","Australian Labor Party (Northern Territory) Branch","Australian Labor Party","1037138","1169776","3564","0"
"2024-25","Australian Labor Party (South Australian Branch)","Australian Labor Party","10530154","6181452","0","0"
"2024-25","Australian Labor Party (State of Queensland)","Australian Labor Party","23320771","21558561","15189","0"
"2024-25","Australian Labor Party (Tasmanian Branch)","Australian Labor Party","2866950","1823886","0","0"
"2024-25","Australian Labor Party (Victorian Branch)","Australian Labor Party","14784949","16176228","220919","0"
"2024-25","Australian Labor Party (Western Australian Branch)","Australian Labor Party","15476384","20102843","134904","0"
"2024-25","Australia's Voice","","406576","363726","0","0"
"2024-25","Better Together Party","","44260","60755","0","0"
"2024-25","Centre Alliance","","47962","45749","0","0"
"2024-25","Country Liberal Party (NT)","","1588664","2385104","0","0"
"2024-25","Dai Le & Frank Carbone W.S.C.","","0","0","0","0"
"2024-25","David Pocock","","920294","858870","124339","0"
"2024-25","Family First Party Australia","","1503494","1463445","2691","0"
"2024-25","Gerard Rennick People First","","588914","574995","0","0"
"2024-25","Health Environment Accountability Rights Transparency (HEART)","","88135","92371","0","0"
"2024-25","Indigenous - Aboriginal Party of Australia","","17841","16671","0","0"
"2024-25","Jacqui Lambie Network","","1354040","1413517","200000","0"
"2024-25","Katter's Australian Party (KAP)","","742860","708193","82220","0"
"2024-25","Kim for Canberra","","2427","2427","729","0"
"2024-25","Legalise Cannabis Australia","","1042544","698556","7063","0"
"2024-25","Liberal National Party of Queensland","Liberal","52325793","46588823","985998","0"
"2024-25","Liberal Party (W.A. Division) Inc","Liberal","17805220","17739560","241206","0"
"2024-25","Liberal Party of Australia","Liberal","53226829","52781603","3075900","1477000"
"2024-25","Liberal Party of Australia - ACT Division","Liberal","926316","1185582","43186","0"
"2024-25","Liberal Party of Australia - Tasmanian Division","Liberal","5113127","4228264","608976","0"
"2024-25","Liberal Party of Australia (S.A. Division)","Liberal","11062188","6085222","308840","0"
"2024-25","Liberal Party of Australia (Victorian Division)","Liberal","32153903","29681346","1937156","0"
"2024-25","Liberal Party of Australia, NSW Division","Liberal","32879191","34899595","2767190","0"
"2024-25","Libertarian Party","","765092","5257300","4123","0"
"2024-25","Libertarian Party of Queensland","","185550","160823","0","0"
"2024-25","National Party of Australia","The Nationals","4148468","4927588","131976","119970"
"2024-25","National Party of Australia - N.S.W.","The Nationals","6532878","9640312","1908697","0"
"2024-25","National Party of Australia - Victoria","The Nationals","2292221","2623623","1438771","0"
"2024-25","National Party of Australia (S.A.) Inc.","The Nationals","27165","34141","0","0"
"2024-25","National Party of Australia (WA) Inc","The Nationals","1316449","1967324","281591","0"
"2024-25","Pauline Hanson's One Nation","One Nation","3323609","3326298","740532","0"
"2024-25","Queensland Greens","The Greens","5895137","7060998","443242","0"
"2024-25","Shooters, Fishers and Farmers Party","","100687","135799","18806","0"
"2024-25","Socialist Alliance","","159525","158819","398","0"
"2024-25","Sustainable Australia Party - Universal Basic Income","","576261","510764","15086","0"
"2024-25","Tammy Tyrrell for Tasmania","","4472","0","4268","0"
"2024-25","The Great Australian Party","","131438","98651","0","0"
"2024-25","The Greens (WA) Inc","The Greens","1699577","2465495","212240","0"
"2024-25","The Greens NSW","The Greens","4270895","7565798","129092","0"
"2024-25","Trumpet of Patriots","","54081977","53430463","1220594","0"
"2024-25","Trumpet of Patriots Party Australian Capital Territory","","0","0","0","0"
"2024-25","Trumpet of Patriots Party New South Wales","","0","0","0","0"
"2024-25","Trumpet of Patriots Party Northern Territory","","0","0","0","0"
"2024-25","Trumpet of Patriots Party Queensland","","0","0","0","0"
"2024-25","Trumpet of Patriots Party South Australia","","0","0","0","0"
"2024-25","Trumpet of Patriots Party Tasmania","","0","0","0","0"
"2024-25","Trumpet of Patriots Party Victoria","","0","0","0","0"
"2024-25","Trumpet of Patriots Western Australia","","0","0","0","0"
"2024-25","Victorian Socialists","","111782","131706","0","0"
"2024-25","votefusion.org for big ideas","","29046","39082","0","0"
"2023-24","Animal Justice Party","","1186307","741013","129470","0"
"2023-24","Australian Christians","","302405","299969","0","0"
"2023-24","Australian Citizens Party","","2345119","2267004","1338906","0"
