"Financial Year","ClientFileId","Name","ABN","ACN","Total Expenditure","Electoral Expenditure Cat. 1","Electoral Expenditure Cat. 2","Electoral Expenditure Cat. 3","Electoral Expenditure Cat. 4","Electoral Expenditure Cat. 5","Total Gifts Received","ClientType"
"2024-25","45799","100% Renewable Community Campaign ","13753514032","","72745","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","44927","ABC Friends Ltd","56 642 876 800","642 876 800","37600","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","45075","ABC Friends NSW & ACT","54 530 872 593","","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","52691","Asylum Seekers Resource Centre","64 114 965 815","","165588","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","52689","Australia Palestine Advocacy Network Incorporated","24 150 565 508","","42030","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","52634","Australian Conservation Foundation Incorporated","22007498482","007498482","156545","N/A","N/A","N/A","N/A","N/A","170000","thirdparty"
"2024-25","38048","Australian Council for International Development","54 645 667 467","","115818","N/A","N/A","N/A","N/A","N/A","156871","thirdparty"
"2024-25","51175","Australian Institute for Progress","67101843396","101843396","52493","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","40337","Australian Marine Conservation Society","53409718351","","24570","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","19885","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","97 853 552 816","","628840","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2024-25","18799","Australian Services Union of NSW & ACT (Services) Branch","60715604720","","52832","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2024-25","52692","Australian Youth Climate Coalition","67145851912","145851912","213262","N/A","N/A","N/A","N/A","N/A","230000","thirdparty"
"2024-25","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","579495","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2024-25","38546","Bob Brown Foundation Inc","51634785002","","90859","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","44896","Brisbane Flight Path Community Alliance","18 141 399 370","","32502","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","40549","Christian Schools Australia Limited","49 092 580 124","092 580 124","18801","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","40617","Climate Action Network Australia","66 661 626 104","098 658 907","41053","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","44930","Climate Council of Australia Ltd","52 165 914 303","165 914 303","241757","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","18756","Electrical Trades Union of Australia NSW Branch","24 379 005 569","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2024-25","52653","Environment Centre NT","12 094 525 400","","21466","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","36517","Environment Victoria","84495053605","","196498","N/A","N/A","N/A","N/A","N/A","176000","thirdparty"
"2024-25","51148","Equality Australia Ltd","20 609 977 764","609 977 764","36573","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","37695","Fair Agenda","99166475903","","18634","N/A","N/A","N/A","N/A","N/A","36970","thirdparty"
"2024-25","51219","Fairfax Matters","","","22368","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2024-25","30315","Greenpeace Australia Pacific Limited","61 002 643 852","002 643 852","104273","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","21234","Health Services Union NSW","85037751682","","10368","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2024-25","51440","Independent Schools Australia","83005118927","","198004","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","52820","Jarrod Davis","","","17565","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","5021","Local Government Association of QLD (LGAQ)","11 010 883 293","142783917","68205","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2024-25","52045","Murray Darling Conservation Alliance","11677850869","677850869","155613","N/A","N/A","N/A","N/A","N/A","150000","thirdparty"
"2024-25","18764","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union ","","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2024-25","52677","Peter Marshall","","","27836","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","51459","Planet Project Inc","55666555531"," 666555531","63612","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","5310","Queensland Council of Unions","43 109 318 638","","95343","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2024-25","42689","Queensland Nurses and Midwives' Union","84382908052","","20000","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","52539","Reunion Media PTY LTD ","26636075084","636075084","55000","N/A","N/A","N/A","N/A","N/A","55000","thirdparty"
"2024-25","52660","RSPCA Australia","99 668 654 249","163 614 668","90038","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2024-25","18784","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","75 536 906 383","","6246","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
